#lambda/nm	DC	C1
612.95	47955.6	48012.8
613.362	47925.2	47847.4
613.774	47658.4	47807
614.186	47547.2	47589.8
614.599	47434	47417.4
615.011	47171.2	47173.6
615.423	47062.2	46996.8
615.835	46773.2	46784
616.248	46633.2	46632.4
616.66	46369	46368.8
617.073	46151	46208.4
617.485	45976.6	46079.4
617.898	45760.8	45930.6
618.311	45596.8	45693.8
618.723	45420.2	45479.6
619.136	45248.6	45251.6
619.549	45027.8	45048.6
619.962	44803.4	44830.6
620.375	44533.6	44595.8
620.788	44299.4	44351.8
621.201	44138.2	44237
621.614	44056.2	44099.8
622.028	43778.6	43867.4
622.441	43571	43617.6
622.854	43409.2	43342.2
623.268	43123	43135.8
623.681	42855.4	42922.4
624.095	42660.8	42627.2
624.509	42578.8	42486
624.922	42285	42392.8
625.336	42036.4	42040.6
625.728	41866	41801.4
626.142	41499	41560
626.556	41443.6	41294.6
626.97	41125.4	41114.8
627.384	40878	40867.6
627.799	40632.2	40688.8
628.213	40371.4	40448.2
628.627	40165.2	40177.8
629.041	39983.8	39958
629.456	39737.6	39716.8
629.87	39488	39472.6
630.285	39298.6	39206.6
630.699	39031	39025.8
631.093	38767.2	38790
631.507	38545.8	38536.6
631.922	38285.2	38220
632.337	37968.4	37948
632.752	37662.8	37720
633.167	37417.8	37412.8
633.582	37095.6	37128
633.997	36850.6	36917.6
634.412	36595	36685.2
634.806	36328	36364.4
635.221	36150.2	36068.6
635.637	35846.4	35839
636.052	35524.8	35559.8
636.468	35223.2	35353.8
636.883	34992.4	34935
637.299	34669.6	34609.2
637.715	34382	34372.2
638.109	34116.6	34036
638.525	33714	33775.2
638.941	33507.6	33407.6
639.357	33084.8	33064.8
639.773	32841.2	32819.6
640.189	32445.2	32527.8
640.584	32206.6	32142.6
641	31910.2	31934
641.416	31638.4	31564.4
641.832	31320	31298
642.249	31010.4	30983
642.665	30709.2	30735
643.06	30425.2	30479.4
643.477	30153.6	30225
643.894	29970.6	29898.8
644.31	29671.6	29664.8
